date,ind,maxtp,ind.1,mintp,igmin,gmin,ind.2,rain,cbl,wdsp,ind.3,hm,ind.4,ddhm,ind.5,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
26-feb-2010,0,7.6,0,1.8,,,0,0.1,983.8,8.3,0,14,0,230.0,0,20,,,,,,,658.0
27-feb-2010,0,8.6,0,-2.4,,,0,0.1,985.0,4.3,0,9,0,170.0,0,14,,,,,,,859.0
28-feb-2010,0,8.8,0,-3.3,,,0,0.0,992.9,4.9,0,17,0,290.0,0,24,,,,,,,903.0
01-mar-2010,0,10.0,0,-4.3,,,0,0.0,1006.3,2.3,0,6,0,50.0,0,8,,,,,,,1161.0
02-mar-2010,0,8.2,0,-1.8,,,0,0.0,1014.4,7.1,0,12,0,120.0,0,19,,,,,,,735.0
03-mar-2010,0,5.6,0,1.4,,,0,12.5,1013.6,5.4,0,8,0,110.0,0,13,,,,,,,214.0
04-mar-2010,0,7.7,0,-0.9,,,0,0.0,1022.1,4.7,0,9,0,60.0,0,13,,,,,,,1217.0
05-mar-2010,0,9.7,0,-4.7,,,0,0.1,1028.4,2.4,0,6,0,320.0,0,9,,,,,,,1230.0
06-mar-2010,0,8.6,0,-4.1,,,0,0.0,1025.2,2.8,0,8,0,70.0,0,12,,,,,,,609.0
07-mar-2010,0,7.8,0,-2.1,,,0,0.0,1025.6,6.5,0,12,0,120.0,0,18,,,,,,,1345.0
08-mar-2010,0,7.8,0,-5.7,,,0,0.0,1025.3,6.2,0,12,0,100.0,0,18,,,,,,,1396.0
09-mar-2010,0,9.2,0,-4.5,,,0,0.0,1027.7,4.3,0,7,0,60.0,0,11,,,,,,,1357.0
10-mar-2010,0,8.9,0,-4.4,,,0,0.0,1027.6,3.6,0,8,0,80.0,0,11,,,,,,,1163.0
11-mar-2010,0,9.4,0,-5.3,,,0,0.0,1024.6,3.0,0,7,0,320.0,0,12,,,,,,,1195.0
12-mar-2010,0,11.0,0,2.1,,,0,0.3,1025.2,6.5,0,12,0,350.0,0,17,,,,,,,768.0
13-mar-2010,0,10.7,0,1.5,,,0,0.1,1029.4,4.4,0,10,0,320.0,0,14,,,,,,,591.0
14-mar-2010,0,11.0,0,-1.9,,,0,0.0,1028.8,4.2,0,11,0,230.0,0,16,,,,,,,984.0
15-mar-2010,0,10.7,0,1.9,,,0,0.0,1023.5,4.1,0,11,0,240.0,0,16,,,,,,,1090.0
16-mar-2010,0,9.9,0,2.7,,,0,0.0,1013.4,9.4,0,16,0,160.0,0,28,,,,,,,433.0
17-mar-2010,0,13.9,0,7.8,,,0,0.2,1006.1,9.7,0,16,0,190.0,0,23,,,,,,,936.0
18-mar-2010,0,13.6,0,8.9,,,0,1.3,997.5,15.3,0,25,0,210.0,0,45,,,,,,,483.0
19-mar-2010,0,11.3,0,4.1,,,0,0.2,1000.6,5.8,0,16,0,220.0,0,26,,,,,,,863.0
20-mar-2010,0,12.3,0,3.1,,,0,0.1,1001.6,5.8,0,11,0,330.0,0,19,,,,,,,1125.0
21-mar-2010,0,12.6,0,3.7,,,0,1.3,1003.7,7.3,0,17,0,170.0,0,28,,,,,,,1088.0
22-mar-2010,0,10.5,0,3.9,,,0,6.2,1002.7,10.9,0,22,0,230.0,0,35,,,,,,,1375.0
23-mar-2010,0,10.2,0,5.0,,,0,0.8,1000.7,9.5,0,15,0,170.0,0,25,,,,,,,553.0
24-mar-2010,0,11.8,0,4.4,,,0,10.8,991.7,6.5,0,12,0,250.0,0,18,,,,,,,1583.0
25-mar-2010,0,13.1,0,5.8,,,0,3.3,989.2,8.2,0,13,0,70.0,0,20,,,,,,,883.0
26-mar-2010,0,13.2,0,3.9,,,0,0.6,990.8,3.9,0,10,0,340.0,0,15,,,,,,,1026.0
27-mar-2010,0,11.5,0,3.8,,,0,0.3,1000.2,7.4,0,16,0,240.0,0,23,,,,,,,1316.0
28-mar-2010,0,10.7,0,2.7,,,0,0.0,1000.7,3.9,0,8,0,300.0,0,12,,,,,,,1245.0
29-mar-2010,0,4.9,0,1.0,,,0,26.1,990.5,11.3,0,19,0,50.0,0,29,,,,,,,226.0
30-mar-2010,0,4.7,0,2.6,,,0,7.5,986.5,15.7,0,21,0,310.0,0,34,,,,,,,451.0
31-mar-2010,0,6.9,0,-0.8,,,0,1.6,996.5,12.2,0,21,0,300.0,0,32,,,,,,,1585.0
01-apr-2010,0,9.6,0,-0.4,,,0,0.4,997.1,5.2,0,11,0,230.0,0,16,,,,,,,1852.0
02-apr-2010,0,10.3,0,3.1,,,0,7.7,988.6,7.2,0,17,0,80.0,0,24,,,,,,,1042.0
03-apr-2010,0,10.3,0,1.4,,,0,0.3,997.6,8.2,0,16,0,310.0,0,29,,,,,,,1053.0
04-apr-2010,0,9.3,0,-1.1,,,0,10.8,1004.9,8.3,0,17,0,180.0,0,29,,,,,,,1012.0
05-apr-2010,0,13.5,0,7.4,,,0,21.7,999.0,14.4,0,27,0,190.0,0,40,,,,,,,669.0
06-apr-2010,0,11.7,0,3.2,,,0,11.1,1003.6,5.4,0,14,0,240.0,0,21,,,,,,,1122.0
07-apr-2010,0,11.1,0,1.5,,,0,0.8,1017.1,7.2,0,17,0,240.0,0,23,,,,,,,1638.0
08-apr-2010,0,12.4,0,5.6,,,0,0.0,1024.9,5.6,0,12,0,240.0,0,16,,,,,,,1282.0
09-apr-2010,0,15.2,0,4.5,,,0,0.0,1025.5,6.1,0,13,0,160.0,0,20,,,,,,,1724.0
10-apr-2010,0,18.5,0,4.5,,,0,0.0,1026.0,5.6,0,10,0,170.0,0,16,,,,,,,2124.0
11-apr-2010,0,18.4,0,3.0,,,0,0.0,1025.6,3.7,0,8,0,0.0,0,12,,,,,,,2080.0
12-apr-2010,0,17.0,0,3.1,,,0,0.0,1025.4,4.9,0,9,0,50.0,0,14,,,,,,,1954.0
13-apr-2010,0,16.1,0,2.3,,,0,0.0,1023.6,5.0,0,10,0,60.0,0,14,,,,,,,1920.0
14-apr-2010,0,12.6,0,5.0,,,0,0.0,1021.2,6.4,0,13,0,50.0,0,20,,,,,,,2029.0
15-apr-2010,0,15.0,0,2.5,,,0,0.0,1023.1,6.6,0,11,0,50.0,0,16,,,,,,,2200.0
