date,ind,maxtp,ind.1,mintp,igmin,gmin,ind.2,rain,cbl,wdsp,ind.3,hm,ind.4,ddhm,ind.5,hg,sun,glorad,soil,pe,evap,smd_wd,smd_md,smd_pd
17-sep-1956,0,16.6,0,8.6,0.0,7.2,2,0.0,1022.6,7.4,0,13.0,0,100.0,0,18.0,,,12.725,1.3,1.9,,,
18-sep-1956,0,17.5,0,11.6,0.0,11.0,2,0.0,1017.9,8.0,0,13.0,0,170.0,0,14.0,,,14.65,1.4,1.9,,,
19-sep-1956,0,17.0,0,12.7,0.0,11.8,0,0.0,1012.9,11.4,0,18.0,0,150.0,0,26.0,,,14.6,1.1,1.6,,,
20-sep-1956,0,19.2,0,13.4,0.0,12.6,0,1.0,1005.5,17.5,0,27.0,0,210.0,0,38.0,,,14.975,1.8,2.5,,,
21-sep-1956,0,17.4,0,12.3,0.0,11.7,0,0.6,998.7,17.4,0,27.0,0,170.0,0,36.0,,,14.65,1.6,2.3,,,
22-sep-1956,0,17.1,0,9.7,0.0,9.8,0,9.9,997.7,9.3,0,24.0,0,140.0,0,32.0,,,14.475,0.9,1.3,,,
23-sep-1956,0,19.2,0,8.7,0.0,7.3,0,0.1,1006.4,4.6,0,10.0,0,160.0,0,13.0,,,13.95,1.9,2.4,,,
24-sep-1956,0,19.7,0,13.6,0.0,11.1,0,4.4,1009.2,6.8,0,14.0,0,50.0,0,18.0,,,14.95,1.1,1.4,,,
25-sep-1956,0,19.6,0,11.5,0.0,9.5,0,3.2,1005.6,4.5,0,12.0,0,260.0,0,19.0,,,15.35,1.1,1.5,,,
26-sep-1956,0,15.7,0,11.8,0.0,10.3,0,0.1,1004.2,14.5,0,21.0,0,220.0,0,29.0,,,14.5,1.7,2.6,,,
27-sep-1956,0,15.7,0,10.7,0.0,10.1,0,25.4,991.6,12.8,0,24.0,0,220.0,0,34.0,,,13.4,1.1,1.6,,,
28-sep-1956,0,14.9,0,10.4,0.0,9.6,0,3.3,985.6,27.5,0,41.0,0,240.0,0,62.0,,,12.95,1.4,2.5,,,
29-sep-1956,0,14.7,0,9.5,0.0,8.5,0,1.3,998.5,24.7,0,31.0,0,190.0,0,46.0,,,12.45,1.8,2.9,,,
30-sep-1956,0,14.6,0,10.1,0.0,9.5,0,0.6,1004.4,25.8,0,33.0,0,220.0,0,49.0,,,12.325,1.9,3.1,,,
01-oct-1956,0,14.0,0,6.6,0.0,8.5,0,0.3,1010.0,9.3,0,19.0,0,230.0,0,28.0,,,11.875,1.0,1.5,,,
02-oct-1956,0,13.6,0,5.6,0.0,3.9,0,1.8,1011.8,8.5,0,21.0,0,270.0,0,32.0,,,11.125,1.0,1.6,,,
03-oct-1956,0,12.7,0,7.1,0.0,7.8,0,3.1,1013.4,20.1,0,29.0,0,300.0,0,43.0,,,10.9,1.7,2.7,,,
04-oct-1956,0,10.6,0,6.2,0.0,5.5,0,5.2,1017.3,18.9,0,33.0,0,300.0,0,48.0,,,9.475,1.6,2.4,,,
05-oct-1956,0,12.8,0,5.9,0.0,4.6,0,1.4,1024.2,15.0,0,24.0,0,360.0,0,35.0,,,9.275,1.6,2.2,,,
06-oct-1956,0,12.5,0,6.1,0.0,3.8,0,0.3,1029.4,8.2,0,12.0,0,320.0,0,18.0,,,9.725,0.8,1.2,,,
07-oct-1956,0,14.0,0,11.7,0.0,10.0,2,0.0,1027.4,8.5,0,13.0,0,280.0,0,19.0,,,12.05,0.7,0.9,,,
08-oct-1956,0,14.9,0,7.2,0.0,3.8,3,0.0,1023.2,6.6,0,13.0,0,210.0,0,16.0,,,12.075,0.8,1.2,,,
09-oct-1956,0,16.2,0,7.1,0.0,6.1,3,0.0,1023.9,4.0,0,10.0,0,190.0,0,12.0,,,11.875,1.0,1.4,,,
10-oct-1956,0,15.4,0,6.7,0.0,4.0,3,0.0,1029.2,2.4,0,9.0,0,230.0,0,13.0,,,11.4,1.1,1.7,,,
11-oct-1956,0,12.3,0,7.4,0.0,4.4,0,0.1,1028.8,7.7,0,17.0,0,250.0,0,22.0,,,11.05,1.7,2.0,,,
12-oct-1956,0,14.1,0,10.7,0.0,7.9,0,1.5,1027.7,12.8,0,18.0,0,250.0,0,26.0,,,12.0,0.9,1.2,,,
13-oct-1956,0,14.8,0,10.2,0.0,9.6,3,0.0,1025.4,9.5,0,15.0,0,230.0,0,22.0,,,12.475,1.1,1.6,,,
14-oct-1956,0,17.1,0,6.7,0.0,5.3,0,2.5,1016.8,8.3,0,22.0,0,160.0,0,27.0,,,11.65,1.0,1.4,,,
15-oct-1956,0,14.1,0,9.6,0.0,11.9,0,24.3,1010.3,8.9,0,17.0,0,180.0,0,24.0,,,12.6,0.5,0.7,,,
16-oct-1956,0,13.0,0,8.9,0.0,7.8,0,12.4,999.5,17.8,0,38.0,0,200.0,0,58.0,,,11.2,0.5,0.8,,,
17-oct-1956,0,13.7,0,7.9,0.0,7.1,0,0.8,999.8,18.6,0,28.0,0,280.0,0,45.0,,,10.85,1.3,1.8,,,
18-oct-1956,0,14.4,0,6.7,0.0,7.8,0,1.6,1011.6,10.1,0,19.0,0,240.0,0,27.0,,,10.575,0.9,1.2,,,
19-oct-1956,0,15.0,0,9.7,0.0,3.8,0,6.9,1006.8,13.8,0,25.0,0,210.0,0,36.0,,,11.15,2.3,2.7,,,
20-oct-1956,0,14.8,0,10.4,0.0,9.0,0,0.2,1007.7,18.7,0,28.0,0,300.0,0,40.0,,,11.75,1.1,1.5,,,
21-oct-1956,0,14.8,0,12.0,0.0,11.8,2,0.0,1016.5,22.8,0,33.0,0,210.0,0,46.0,,,12.35,0.9,1.4,,,
22-oct-1956,0,14.9,0,6.2,0.0,12.0,0,19.4,1015.8,12.2,0,32.0,0,210.0,0,46.0,,,12.775,0.5,0.8,,,
23-oct-1956,0,13.6,0,7.2,0.0,4.0,0,1.5,1012.5,18.6,0,29.0,0,220.0,0,42.0,,,10.875,1.2,1.7,,,
24-oct-1956,0,12.2,0,3.6,0.0,5.7,0,8.5,1009.0,22.2,0,35.0,0,220.0,0,49.0,,,9.325,1.1,1.7,,,
25-oct-1956,0,10.1,0,4.2,0.0,1.4,0,1.6,1019.0,18.6,0,29.0,0,330.0,0,54.0,,,7.6,1.4,1.9,,,
