date,ind,maxtp,ind.1,mintp,igmin,gmin,ind.2,rain,cbl,wdsp,ind.3,hm,ind.4,ddhm,ind.5,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
10-may-2006,0,17.1,0,3.6,,,0,0.0,1011.0,4.9,0,10,0,80,0,15,,,,,,,2397.0
11-may-2006,0,20.5,0,7.5,,,0,5.0,1008.5,4.7,0,11,0,80,0,15,,,,,,,1984.0
12-may-2006,0,20.7,0,7.2,,,0,30.0,1004.9,4.1,0,11,0,150,0,17,,,,,,,1838.0
13-may-2006,0,13.2,0,6.7,,,0,0.0,1008.0,5.6,0,10,0,110,0,13,,,,,,,1450.0
14-may-2006,0,15.7,0,8.0,,,0,16.8,1006.8,5.9,0,15,0,220,0,20,,,,,,,566.0
15-may-2006,0,15.5,0,9.9,,,0,0.3,999.6,5.5,0,12,0,270,0,19,,,,,,,987.0
16-may-2006,0,16.5,0,8.4,,,0,0.6,1001.3,8.7,0,16,0,200,0,25,,,,,,,1685.0
17-may-2006,0,15.0,0,9.5,,,0,9.8,994.1,11.0,0,20,0,200,0,31,,,,,,,584.0
18-may-2006,0,15.1,0,8.8,,,0,7.6,984.0,13.7,0,22,0,200,0,36,,,,,,,1468.0
19-may-2006,0,15.9,0,9.6,,,0,5.1,983.1,11.2,0,20,0,260,0,28,,,,,,,1233.0
20-may-2006,0,13.5,0,4.5,,,0,3.3,982.4,8.0,0,16,0,320,0,23,,,,,,,1576.0
21-may-2006,0,8.3,0,4.4,,,0,14.9,982.0,10.7,0,20,0,60,0,30,,,,,,,390.0
22-may-2006,0,11.1,0,1.6,,,0,1.0,986.8,10.3,0,18,0,330,0,28,,,,,,,1313.0
23-may-2006,0,11.6,0,1.3,,,0,2.7,998.2,10.8,0,21,0,250,0,29,,,,,,,1827.0
24-may-2006,0,13.3,0,4.9,,,0,1.1,1000.0,8.9,0,17,0,260,0,23,,,,,,,2433.0
25-may-2006,0,15.3,0,2.3,,,0,1.0,1004.1,3.9,0,8,0,240,0,14,,,,,,,1987.0
26-may-2006,0,16.6,0,10.5,,,0,9.0,1004.0,12.6,0,18,0,260,0,29,,,,,,,1172.0
27-may-2006,0,16.7,0,8.6,,,0,1.0,1008.4,12.2,0,21,0,250,0,30,,,,,,,1592.0
28-may-2006,0,14.7,0,6.3,,,0,0.1,1011.8,8.5,0,14,0,270,0,20,,,,,,,1421.0
29-may-2006,0,13.6,0,4.4,,,0,0.1,1012.2,10.8,0,18,0,330,0,26,,,,,,,2021.0
30-may-2006,0,13.9,0,3.4,,,0,0.0,1017.1,8.8,0,16,0,350,0,23,,,,,,,2149.0
31-may-2006,0,16.3,0,1.2,,,0,0.0,1018.5,4.3,0,9,0,320,0,15,,,,,,,2583.0
