date,ind,maxtp,ind.1,mintp,igmin,gmin,ind.2,rain,cbl,wdsp,ind.3,hm,ind.4,ddhm,ind.5,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
27-jan-2011,0,5.4,0,-1.7,,,0,0.0,1021.2,5.0,0,9,0,90.0,0,14,,,,,,,287.0
28-jan-2011,0,3.8,0,-0.3,,,0,0.0,1022.3,2.4,0,5,0,340.0,0,10,,,,,,,234.0
29-jan-2011,0,4.5,0,-3.5,,,0,0.0,1022.2,2.2,0,5,0,120.0,0,6,,,,,,,401.0
30-jan-2011,0,6.1,0,-0.3,,,0,0.0,1019.5,5.3,0,13,0,210.0,0,16,,,,,,,210.0
31-jan-2011,0,10.1,0,4.9,,,0,3.9,1013.5,15.6,0,24,0,210.0,0,34,,,,,,,259.0
01-feb-2011,0,9.8,0,6.1,,,0,0.6,1013.6,12.9,0,23,0,190.0,0,37,,,,,,,472.0
02-feb-2011,0,10.9,0,3.1,,,0,6.4,1006.6,19.3,0,27,0,210.0,0,42,,,,,,,285.0
03-feb-2011,0,9.2,0,2.5,,,0,8.1,1002.0,24.7,0,39,0,250.0,0,57,,,,,,,208.0
04-feb-2011,0,12.9,0,4.9,,,0,9.5,995.2,22.9,0,39,0,230.0,0,54,,,,,,,99.0
05-feb-2011,0,8.0,0,5.1,,,0,8.0,1001.8,7.2,0,19,0,250.0,0,28,,,,,,,150.0
06-feb-2011,0,7.1,0,4.8,,,0,6.3,1002.9,4.5,0,9,0,270.0,0,13,,,,,,,308.0
07-feb-2011,0,7.7,0,1.9,,,0,28.6,1000.4,12.5,0,23,0,280.0,0,35,,,,,,,444.0
08-feb-2011,0,9.3,0,1.8,,,0,0.4,1006.9,10.9,0,18,0,130.0,0,29,,,,,,,276.0
09-feb-2011,0,10.1,0,5.8,,,0,6.4,1003.5,7.6,0,16,0,200.0,0,25,,,,,,,103.0
10-feb-2011,0,8.1,0,0.3,,,0,0.0,1004.2,6.8,0,15,0,120.0,0,20,,,,,,,663.0
11-feb-2011,0,11.1,0,3.5,,,0,2.9,1000.9,8.5,0,15,0,160.0,0,22,,,,,,,229.0
12-feb-2011,0,7.7,0,1.3,,,0,3.5,996.6,9.6,0,22,0,170.0,0,34,,,,,,,377.0
13-feb-2011,0,7.1,0,1.3,,,0,0.2,988.3,3.6,0,10,0,250.0,0,12,,,,,,,414.0
14-feb-2011,0,6.6,0,0.7,,,0,2.4,987.8,8.5,0,21,0,230.0,0,28,,,,,,,626.0
15-feb-2011,0,6.6,0,0.3,,,0,2.5,979.4,10.8,0,17,0,110.0,0,27,,,,,,,209.0
16-feb-2011,0,9.7,0,0.3,,,0,0.5,985.3,6.0,0,12,0,210.0,0,18,,,,,,,777.0
17-feb-2011,0,8.1,0,-1.0,,,0,0.0,998.5,4.8,0,8,0,120.0,0,12,,,,,,,599.0
18-feb-2011,0,8.8,0,2.7,,,0,11.6,998.2,11.5,0,18,0,120.0,0,29,,,,,,,214.0
19-feb-2011,0,11.5,0,5.7,,,0,0.0,998.9,8.1,0,17,0,160.0,0,24,,,,,,,694.0
20-feb-2011,0,10.4,0,7.2,,,0,1.2,1001.7,13.1,0,17,0,120.0,0,27,,,,,,,264.0
21-feb-2011,0,10.8,0,6.3,,,0,0.6,1003.6,5.3,0,13,0,170.0,0,18,,,,,,,701.0
22-feb-2011,0,11.4,0,7.1,,,0,5.7,1004.5,6.4,0,11,0,210.0,0,16,,,,,,,181.0
23-feb-2011,0,13.6,0,10.1,,,0,0.8,1003.6,12.7,0,22,0,200.0,0,31,,,,,,,470.0
24-feb-2011,0,13.7,0,10.2,,,0,0.0,1008.3,14.2,0,20,0,200.0,0,32,,,,,,,626.0
25-feb-2011,0,13.2,0,7.1,,,0,5.2,1007.5,14.3,0,23,0,200.0,0,35,,,,,,,652.0
26-feb-2011,0,8.6,0,4.5,,,0,1.5,1011.8,12.2,0,18,0,280.0,0,28,,,,,,,839.0
27-feb-2011,0,9.5,0,1.0,,,0,5.0,1021.4,11.2,0,20,0,290.0,0,34,,,,,,,1015.0
28-feb-2011,0,9.4,0,-0.6,,,0,0.0,1030.6,2.9,0,6,0,120.0,0,9,,,,,,,921.0
01-mar-2011,0,11.2,0,3.6,,,0,0.1,1034.1,5.0,0,12,0,180.0,0,18,,,,,,,1082.0
02-mar-2011,0,9.5,0,2.1,,,0,0.0,1032.4,4.8,0,11,0,190.0,0,17,,,,,,,643.0
03-mar-2011,0,11.7,0,2.9,,,0,0.0,1033.4,4.4,0,8,0,110.0,0,12,,,,,,,1016.0
04-mar-2011,0,8.4,0,1.6,,,0,0.0,1030.3,3.8,0,8,0,110.0,0,10,,,,,,,282.0
05-mar-2011,0,10.8,0,4.6,,,0,0.1,1028.1,4.6,0,9,0,110.0,0,12,,,,,,,552.0
06-mar-2011,0,8.0,0,5.2,,,0,0.2,1026.3,5.8,0,10,0,110.0,0,13,,,,,,,243.0
07-mar-2011,0,9.9,0,5.3,,,0,0.2,1021.6,4.6,0,10,0,200.0,0,13,,,,,,,474.0
08-mar-2011,0,10.1,0,4.8,,,0,2.6,1011.3,16.1,0,28,0,280.0,0,41,,,,,,,444.0
09-mar-2011,0,9.3,0,3.1,,,0,5.2,1003.7,22.7,0,31,0,270.0,0,43,,,,,,,697.0
10-mar-2011,0,8.8,0,2.7,,,0,4.2,1001.6,24.7,0,36,0,250.0,0,48,,,,,,,775.0
11-mar-2011,0,6.3,0,1.4,,,0,6.2,1002.0,8.1,0,21,0,240.0,0,27,,,,,,,405.0
12-mar-2011,0,5.5,0,0.4,,,0,7.6,995.2,5.1,0,12,0,340.0,0,17,,,,,,,506.0
13-mar-2011,0,5.7,0,2.7,,,0,5.4,999.7,14.9,0,24,0,20.0,0,34,,,,,,,649.0
