date,ind,maxtp,ind.1,mintp,igmin,gmin,ind.2,rain,cbl,wdsp,ind.3,hm,ind.4,ddhm,ind.5,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
14-aug-2003,0,19.2,0,9.0,,,0,0.0,1020.2,6.7,0,13.0,0,60.0,0,17.0,,,,,,,2432.0
15-aug-2003,0,19.3,0,11.2,,,0,0.0,1018.7,6.5,0,12.0,0,280.0,0,15.0,,,,,,,2284.0
16-aug-2003,0,19.4,0,11.0,,,0,0.0,1015.6,5.7,0,10.0,0,200.0,0,13.0,,,,,,,2084.0
17-aug-2003,0,17.0,0,14.4,,,0,3.3,1008.3,16.9,0,26.0,0,180.0,0,34.0,,,,,,,954.0
18-aug-2003,0,17.1,0,13.1,,,0,0.2,1011.9,18.5,0,23.0,0,270.0,0,28.0,,,,,,,1225.0
19-aug-2003,0,16.5,0,12.6,,,0,0.5,1017.5,15.1,0,22.0,0,260.0,0,26.0,,,,,,,1211.0
20-aug-2003,0,18.0,0,14.1,,,0,0.9,1015.2,13.9,0,22.0,0,210.0,0,28.0,,,,,,,1242.0
21-aug-2003,0,17.2,0,14.7,,,0,0.4,1009.0,20.6,0,27.0,0,220.0,0,34.0,,,,,,,446.0
22-aug-2003,0,17.6,0,14.5,,,0,3.8,1012.2,9.9,0,16.0,0,250.0,0,19.0,,,,,,,679.0
23-aug-2003,0,20.1,0,16.2,,,0,1.0,1017.3,7.0,0,14.0,0,230.0,0,18.0,,,,,,,982.0
24-aug-2003,0,26.1,0,16.9,,,0,0.0,1017.6,12.8,0,20.0,0,90.0,0,26.0,,,,,,,1648.0
25-aug-2003,0,21.3,0,14.7,,,0,0.2,1016.2,14.8,0,21.0,0,100.0,0,28.0,,,,,,,1074.0
26-aug-2003,0,19.8,0,13.9,,,0,0.0,1014.6,14.4,0,21.0,0,80.0,0,28.0,,,,,,,1144.0
27-aug-2003,0,21.0,0,12.9,,,0,0.0,1012.7,12.5,0,19.0,0,60.0,0,24.0,,,,,,,1919.0
28-aug-2003,0,17.5,0,10.1,,,0,0.0,1009.8,10.3,0,15.0,0,20.0,0,21.0,,,,,,,1331.0
29-aug-2003,0,18.1,0,11.4,,,0,0.2,1015.2,9.9,0,21.0,0,330.0,0,26.0,,,,,,,1931.0
30-aug-2003,0,17.4,0,10.0,,,0,0.2,1020.4,9.1,0,16.0,0,310.0,0,23.0,,,,,,,1741.0
31-aug-2003,0,17.1,0,11.1,,,0,0.0,1022.8,8.8,0,19.0,0,350.0,0,23.0,,,,,,,1137.0
01-sep-2003,4,,4,,,,8,,,,0,12.0,0,290.0,0,15.0,,,,,,,
02-sep-2003,0,18.2,0,12.5,,,0,0.0,1026.5,6.6,0,12.0,0,280.0,0,14.0,,,,,,,1726.0
03-sep-2003,0,18.0,0,13.4,,,0,0.2,1026.2,5.3,0,11.0,0,220.0,0,14.0,,,,,,,1357.0
04-sep-2003,0,17.8,0,14.8,,,0,0.2,1019.5,13.5,0,17.0,0,210.0,0,22.0,,,,,,,1168.0
05-sep-2003,0,17.5,0,11.7,,,0,10.8,1012.8,10.2,0,23.0,0,170.0,0,31.0,,,,,,,1196.0
06-sep-2003,0,16.9,0,11.8,,,0,3.4,1012.0,13.2,0,19.0,0,180.0,0,27.0,,,,,,,1766.0
07-sep-2003,0,16.1,0,9.9,,,0,12.2,1007.3,11.3,0,19.0,0,190.0,0,24.0,,,,,,,1256.0
08-sep-2003,0,16.4,0,9.3,,,0,0.3,1010.8,10.9,0,22.0,0,320.0,0,29.0,,,,,,,1667.0
09-sep-2003,0,16.1,0,11.9,,,0,2.4,1010.2,17.1,0,25.0,0,280.0,0,32.0,,,,,,,553.0
10-sep-2003,0,17.5,0,13.3,,,0,1.9,1010.5,14.1,0,26.0,0,290.0,0,33.0,,,,,,,900.0
11-sep-2003,0,16.9,0,14.1,,,0,1.7,1017.0,19.4,0,30.0,0,270.0,0,37.0,,,,,,,1461.0
12-sep-2003,4,,4,,,,8,,,,0,20.0,0,150.0,0,27.0,,,,,,,
07-oct-2003,0,14.2,0,11.4,,,0,1.5,1011.7,18.2,0,34.0,0,280.0,0,40.0,,,,,,,390.0
08-oct-2003,0,15.5,0,13.2,,,0,0.4,1017.7,20.8,0,24.0,0,270.0,0,31.0,,,,,,,692.0
09-oct-2003,0,15.3,0,12.1,,,0,0.2,1014.8,20.4,0,26.0,0,240.0,0,39.0,,,,,,,343.0
10-oct-2003,0,14.6,0,12.2,,,0,0.5,1015.7,10.3,0,18.0,0,280.0,0,21.0,,,,,,,841.0
11-oct-2003,0,15.5,0,13.3,,,0,0.3,1016.8,11.1,0,18.0,0,150.0,0,22.0,,,,,,,515.0
