date,ind,maxtp,ind.1,mintp,igmin,gmin,ind.2,rain,cbl,wdsp,ind.3,hm,ind.4,ddhm,ind.5,hg,sun,glorad,soil,pe,evap,smd_wd,smd_md,smd_pd
01-may-1955,0,9.4,0,6.9,0.0,3.8,0,7.4,996.2,19.2,2,34.0,2,70.0,2,48.0,,,,1.0,1.9,,,
02-may-1955,0,11.2,0,5.7,0.0,5.9,3,0.0,997.1,14.2,0,24.0,0,310.0,0,31.0,,,12.3,1.9,3.6,,,
03-may-1955,0,13.1,0,4.3,0.0,0.6,0,6.6,989.6,14.8,0,30.0,0,130.0,0,48.0,,,9.2,1.4,2.4,,,
04-may-1955,0,12.8,0,7.8,0.0,6.1,0,4.4,978.3,19.9,0,27.0,0,230.0,0,41.0,,,9.625,2.0,3.6,,,
05-may-1955,0,13.2,0,8.1,0.0,6.6,0,2.7,990.3,16.0,0,24.0,0,240.0,0,34.0,,,10.775,2.0,3.4,,,
06-may-1955,0,11.4,0,7.9,0.0,6.4,0,0.8,1005.4,11.2,0,19.0,0,320.0,0,23.0,,,11.65,2.7,4.4,,,
07-may-1955,0,14.3,0,6.4,0.0,2.3,0,0.5,1010.5,12.8,0,28.0,0,160.0,0,41.0,,,11.75,2.7,4.2,,,
08-may-1955,0,16.4,0,9.7,0.0,7.8,0,1.9,1002.3,14.5,0,22.0,0,190.0,0,30.0,,,12.275,2.8,4.4,,,
09-may-1955,0,13.2,0,7.7,0.0,5.8,0,4.8,998.8,12.9,0,23.0,0,330.0,0,32.0,,,11.9,2.1,3.6,,,
10-may-1955,0,7.8,0,4.7,0.0,4.4,0,0.6,1008.3,20.1,0,31.0,0,350.0,0,40.0,,,10.725,1.9,3.6,,,
11-may-1955,0,11.7,0,5.1,0.0,3.8,0,2.7,1014.0,18.1,0,26.0,0,260.0,0,40.0,,,10.025,2.4,4.2,,,
12-may-1955,0,10.4,0,7.2,0.0,6.2,0,7.8,1004.8,14.1,0,24.0,0,230.0,0,34.0,,,9.775,1.4,2.2,,,
13-may-1955,0,9.2,0,4.7,0.0,3.7,0,3.1,997.8,17.7,0,25.0,0,310.0,0,39.0,,,9.9,2.3,4.2,,,
14-may-1955,0,8.7,0,2.9,1.0,-0.6,0,7.3,999.2,15.1,0,26.0,0,330.0,0,39.0,,,9.2,2.2,4.0,,,
15-may-1955,0,8.7,0,1.4,0.0,1.0,0,6.3,1000.0,15.1,0,28.0,0,290.0,0,41.0,,,8.5,2.0,3.5,,,
16-may-1955,0,8.3,0,4.8,0.0,0.1,0,0.1,1002.8,13.7,0,26.0,0,360.0,0,32.0,,,9.25,2.8,4.8,,,
17-may-1955,0,7.9,0,5.5,0.0,3.6,0,0.1,1005.2,18.9,0,24.0,0,340.0,0,32.0,,,9.975,2.8,5.2,,,
18-may-1955,0,8.9,0,4.4,0.0,2.9,0,0.6,1012.2,21.8,0,29.0,0,330.0,0,41.0,,,9.75,2.6,4.9,,,
19-may-1955,0,9.0,0,2.7,0.0,1.7,0,2.5,1018.3,12.5,0,34.0,0,310.0,0,46.0,,,10.15,2.4,4.1,,,
20-may-1955,0,9.3,0,4.9,0.0,4.4,0,1.2,1021.8,8.8,0,19.0,0,340.0,0,26.0,,,11.85,2.6,4.1,,,
21-may-1955,0,12.1,0,5.7,0.0,2.8,0,0.3,1025.2,11.5,0,25.0,0,260.0,0,32.0,,,10.725,2.7,4.3,,,
22-may-1955,0,12.7,0,6.7,0.0,5.2,0,5.3,1022.9,15.9,0,24.0,0,240.0,0,35.0,,,10.4,1.3,2.3,,,
23-may-1955,0,11.7,0,9.4,0.0,10.1,0,1.3,1020.6,6.9,0,22.0,0,240.0,0,31.0,,,12.325,2.3,3.0,,,
24-may-1955,0,11.5,0,8.8,0.0,10.4,0,1.0,1018.2,6.0,0,15.0,0,70.0,0,22.0,,,13.45,3.0,4.1,,,
25-may-1955,0,17.2,0,8.4,0.0,4.2,0,0.0,1011.1,12.3,0,22.0,0,50.0,0,30.0,,,13.5,3.6,5.7,,,
26-may-1955,0,16.5,0,9.9,0.0,8.4,0,0.0,1006.1,14.3,2,29.0,2,80.0,2,40.0,,,13.9,3.1,4.7,,,
27-may-1955,0,15.9,0,8.7,0.0,8.6,0,0.3,1007.3,19.9,2,26.0,2,130.0,2,43.0,,,13.075,2.6,4.3,,,
28-may-1955,0,14.5,0,7.8,0.0,7.2,0,0.5,1014.3,11.4,2,19.0,2,130.0,2,32.0,,,12.05,2.5,3.6,,,
29-may-1955,0,17.2,0,7.5,0.0,4.7,0,0.0,1022.5,15.2,2,23.0,2,140.0,2,34.0,,,12.825,4.1,6.5,,,
30-may-1955,0,20.2,0,8.4,0.0,6.6,0,0.0,1023.3,14.7,2,21.0,2,160.0,2,32.0,,,14.05,4.3,6.3,,,
31-may-1955,0,18.4,0,9.9,0.0,5.9,2,0.0,1018.7,12.8,2,18.0,2,140.0,2,29.0,,,13.65,3.1,4.2,,,
01-jun-1955,0,18.8,0,10.7,0.0,8.7,0,0.0,1012.5,14.5,2,26.0,2,70.0,2,34.0,,,14.6,4.6,6.9,,,
02-jun-1955,0,14.9,0,10.6,0.0,10.3,0,0.6,1008.7,15.2,2,23.0,2,70.0,2,39.0,,,13.725,2.1,3.1,,,
03-jun-1955,0,13.7,0,8.8,0.0,6.7,0,0.2,1010.6,13.6,2,22.0,2,70.0,2,34.0,,,13.3,2.2,3.5,,,
04-jun-1955,0,13.9,0,9.7,0.0,9.1,2,0.0,1003.3,22.6,2,32.0,2,70.0,2,42.0,,,12.8,2.3,3.8,,,
05-jun-1955,0,17.6,0,10.4,0.0,9.6,2,0.0,1004.5,14.6,2,23.0,2,70.0,2,29.0,,,13.75,3.5,5.1,,,
06-jun-1955,0,15.9,0,11.1,0.0,9.6,2,0.0,1005.3,23.5,0,30.0,0,80.0,0,40.0,,,13.8,2.6,4.1,,,
07-jun-1955,0,12.3,0,7.8,0.0,8.9,0,23.2,1002.1,32.0,0,39.0,0,90.0,0,55.0,,,11.7,2.0,3.7,,,
08-jun-1955,0,12.4,0,7.8,0.0,6.6,0,0.0,1005.9,17.3,0,33.0,0,50.0,0,45.0,,,10.975,2.4,3.8,,,
09-jun-1955,0,11.4,0,7.2,0.0,6.1,2,0.0,1012.7,7.0,0,22.0,0,90.0,0,32.0,,,13.375,3.3,4.9,,,
10-jun-1955,0,12.2,0,6.6,1.0,-0.3,2,0.0,1016.9,6.7,0,13.0,0,290.0,0,18.0,,,14.025,3.2,4.7,,,
11-jun-1955,0,12.8,0,6.7,0.0,2.8,0,10.3,1008.8,9.8,0,15.0,0,210.0,0,23.0,,,12.575,1.7,2.4,,,
12-jun-1955,0,12.8,0,8.5,0.0,8.0,0,0.2,1004.6,11.1,0,18.0,0,70.0,0,23.0,,,13.65,2.7,4.5,,,
13-jun-1955,0,14.3,0,8.7,0.0,6.6,0,12.8,1009.0,9.6,0,22.0,0,190.0,0,32.0,,,13.7,2.0,3.0,,,
14-jun-1955,0,14.4,0,11.1,0.0,10.0,0,2.9,1008.2,16.4,0,23.0,0,190.0,0,34.0,,,13.225,1.4,2.3,,,
15-jun-1955,0,13.7,0,9.9,0.0,9.9,0,0.9,1017.0,7.0,0,15.0,0,300.0,0,22.0,,,13.3,2.1,2.9,,,
16-jun-1955,0,12.4,0,8.8,0.0,8.8,0,1.4,1019.3,10.8,0,20.0,0,90.0,0,26.0,,,13.225,2.6,3.5,,,
17-jun-1955,0,16.1,0,11.2,0.0,11.1,0,5.5,1018.3,10.2,0,16.0,0,150.0,0,24.0,,,13.85,2.1,3.2,,,
18-jun-1955,0,17.9,0,12.0,0.0,11.8,0,0.0,1015.5,11.2,0,18.0,0,90.0,0,26.0,,,15.45,4.2,6.1,,,
19-jun-1955,0,13.1,0,9.6,0.0,6.1,0,2.9,1009.8,9.5,0,25.0,0,100.0,0,32.0,,,14.125,2.1,3.2,,,
20-jun-1955,0,13.9,0,10.1,0.0,9.5,2,0.0,1012.0,5.4,0,12.0,0,100.0,0,19.0,,,14.45,1.9,2.6,,,
21-jun-1955,0,18.7,0,11.1,0.0,8.2,0,0.1,1016.2,10.9,0,19.0,0,200.0,0,30.0,,,14.85,2.5,3.6,,,
22-jun-1955,0,15.4,0,11.7,0.0,12.1,0,1.1,1014.8,12.2,0,22.0,0,220.0,0,32.0,,,14.625,1.9,2.9,,,
23-jun-1955,0,17.3,0,11.1,0.0,9.6,0,2.8,1003.9,16.0,0,43.0,0,210.0,0,58.0,,,13.65,1.7,2.7,,,
24-jun-1955,0,15.7,0,10.1,0.0,8.4,0,0.6,1009.8,16.1,0,25.0,0,280.0,0,35.0,,,13.925,3.2,5.5,,,
25-jun-1955,0,14.1,0,10.9,0.0,9.4,0,2.8,1017.2,9.9,0,16.0,0,260.0,0,22.0,,,13.775,1.7,2.6,,,
26-jun-1955,0,14.4,0,10.6,0.0,8.9,0,1.2,1018.1,10.8,0,17.0,0,250.0,0,26.0,,,13.425,1.5,2.3,,,
27-jun-1955,0,16.1,0,11.6,0.0,11.1,0,1.6,1014.0,10.7,0,16.0,0,260.0,0,24.0,,,14.375,1.8,2.7,,,
28-jun-1955,0,15.2,0,12.6,0.0,12.4,0,8.9,1005.0,14.9,0,23.0,0,190.0,0,33.0,,,14.225,1.4,2.3,,,
29-jun-1955,0,15.1,0,10.8,0.0,11.4,0,3.2,1004.8,9.4,0,16.0,0,330.0,0,21.0,,,14.775,2.2,3.1,,,
30-jun-1955,0,15.7,0,11.4,0.0,10.9,0,0.0,1009.8,6.8,0,13.0,0,190.0,0,21.0,,,14.675,2.4,3.2,,,
01-jul-1955,0,13.9,0,10.3,0.0,10.9,0,15.9,1004.2,14.2,0,24.0,0,300.0,0,33.0,,,13.5,2.1,3.5,,,
02-jul-1955,0,14.6,0,9.9,0.0,7.6,0,2.0,1004.7,12.2,0,20.0,0,270.0,0,33.0,,,13.125,2.5,3.8,,,
03-jul-1955,0,13.8,0,9.9,0.0,9.3,0,0.9,1003.8,10.3,0,16.0,0,330.0,0,19.0,,,14.775,2.7,4.3,,,
04-jul-1955,0,14.9,0,10.1,0.0,7.2,0,0.0,1012.3,5.8,0,9.0,0,310.0,0,14.0,,,15.525,2.8,3.9,,,
05-jul-1955,0,17.1,0,9.9,0.0,4.5,3,0.0,1020.3,5.9,0,9.0,0,280.0,0,15.0,,,16.625,3.5,5.0,,,
06-jul-1955,0,18.3,0,12.1,0.0,10.0,2,0.0,1024.9,11.4,0,17.0,0,260.0,0,21.0,,,16.85,1.7,2.6,,,
07-jul-1955,0,18.4,0,14.7,0.0,14.4,0,0.0,1027.7,2.4,0,12.0,0,260.0,0,16.0,,,17.95,1.8,2.3,,,
08-jul-1955,0,20.6,0,15.2,0.0,11.7,0,0.0,1027.7,3.3,0,9.0,0,80.0,0,13.0,,,20.075,4.4,5.8,,,
09-jul-1955,0,20.7,0,14.1,0.0,8.4,3,0.0,1024.5,6.5,0,15.0,0,80.0,0,23.0,,,20.075,4.2,5.9,,,
10-jul-1955,0,21.3,0,13.8,0.0,8.8,3,0.0,1020.0,5.8,0,16.0,0,90.0,0,22.0,,,19.35,4.0,5.5,,,
11-jul-1955,0,19.8,0,14.3,0.0,8.1,3,0.0,1016.6,1.4,0,6.0,0,320.0,0,9.0,,,19.725,3.9,4.9,,,
12-jul-1955,0,15.0,0,12.6,0.0,13.8,0,0.1,1016.8,1.9,0,7.0,0,70.0,0,12.0,,,19.175,1.6,1.9,,,
13-jul-1955,0,19.4,0,11.6,0.0,12.6,0,0.1,1016.2,5.1,0,13.0,0,270.0,0,17.0,,,18.475,2.6,3.5,,,
14-jul-1955,0,17.0,0,13.5,0.0,14.4,0,0.7,1018.8,7.2,0,16.0,0,270.0,0,24.0,,,18.2,1.8,2.5,,,
15-jul-1955,0,17.3,0,12.9,0.0,12.2,0,0.0,1022.4,9.0,0,16.0,0,280.0,0,23.0,,,17.475,2.9,4.2,,,
16-jul-1955,0,18.4,0,10.3,0.0,8.4,3,0.0,1020.7,7.5,0,18.0,0,270.0,0,23.0,,,17.375,2.5,3.7,,,
17-jul-1955,0,16.4,0,12.6,0.0,12.1,0,0.3,1019.3,7.6,0,13.0,0,250.0,0,18.0,,,16.525,1.8,2.5,,,
18-jul-1955,0,15.7,0,12.1,0.0,8.9,0,0.0,1020.9,9.0,0,11.0,0,360.0,0,16.0,,,17.55,3.2,4.8,,,
19-jul-1955,0,15.3,0,12.7,0.0,11.3,0,0.0,1022.8,6.3,0,10.0,0,330.0,0,15.0,,,16.55,1.8,2.4,,,
20-jul-1955,0,14.8,0,11.2,0.0,12.5,0,0.0,1022.6,2.2,0,5.0,0,330.0,0,8.0,,,16.8,1.6,2.0,,,
21-jul-1955,0,15.6,0,8.8,0.0,7.0,3,0.0,1020.8,3.4,0,11.0,0,90.0,0,15.0,,,17.525,3.4,4.6,,,
22-jul-1955,0,19.8,0,10.6,0.0,7.3,2,0.0,1021.2,4.4,0,12.0,0,270.0,0,19.0,,,18.175,3.1,4.2,,,
23-jul-1955,0,18.7,0,13.9,0.0,15.5,0,1.3,1023.3,3.1,0,8.0,0,310.0,0,11.0,,,18.5,1.7,2.1,,,
24-jul-1955,0,19.8,0,12.2,0.0,12.2,0,0.1,1020.9,7.7,0,18.0,0,90.0,0,25.0,,,18.675,3.1,4.5,,,
25-jul-1955,0,18.2,0,11.1,0.0,8.7,0,0.0,1019.8,5.6,0,12.0,0,90.0,0,18.0,,,18.575,3.8,5.4,,,
26-jul-1955,0,18.5,0,9.8,0.0,6.5,0,0.0,1017.9,1.5,0,7.0,0,80.0,0,11.0,,,18.875,3.9,5.0,,,
27-jul-1955,0,18.3,0,10.6,0.0,6.0,3,0.0,1017.4,3.1,0,10.0,0,360.0,0,13.0,,,19.075,3.4,4.5,,,
28-jul-1955,0,16.0,0,13.8,0.0,12.1,2,0.0,1019.5,9.4,0,13.0,0,360.0,0,19.0,,,18.725,2.0,2.8,,,
29-jul-1955,0,17.0,0,13.4,0.0,9.4,2,0.0,1020.2,5.8,0,12.0,0,350.0,0,18.0,,,17.575,1.9,2.5,,,
30-jul-1955,0,19.2,0,12.8,0.0,11.6,0,0.1,1019.0,7.5,0,14.0,0,270.0,0,21.0,,,17.45,1.8,2.5,,,
31-jul-1955,0,19.9,0,15.5,0.0,14.9,0,0.6,1019.4,6.9,0,13.0,0,290.0,0,19.0,,,18.25,2.2,3.1,,,
01-aug-1955,0,17.8,0,14.0,0.0,13.8,0,0.5,1020.1,3.8,0,9.0,0,260.0,0,13.0,,,18.3,1.4,1.8,,,
02-aug-1955,0,15.9,0,11.7,0.0,13.1,0,2.3,1019.3,3.5,0,11.0,0,100.0,0,17.0,,,17.2,1.9,2.5,,,
