date,ind,maxtp,ind.1,mintp,igmin,gmin,ind.2,rain,cbl,wdsp,ind.3,hm,ind.4,ddhm,ind.5,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
08-sep-2004,0,21.1,0,8.1,,,0,0.0,1026.7,6.7,0,16,1,,0,22,,,,,,,1785.0
09-sep-2004,0,23.1,0,7.3,,,0,0.0,1017.1,6.4,0,14,1,,0,19,,,,,,,1669.0
10-sep-2004,0,19.3,0,9.8,,,0,1.5,1003.1,6.3,0,17,1,,0,28,,,,,,,382.0
11-sep-2004,0,16.1,0,9.5,,,0,0.9,999.6,14.3,0,19,1,,0,29,,,,,,,1241.0
12-sep-2004,0,14.9,0,9.7,,,0,10.6,995.4,13.2,0,20,1,,0,31,,,,,,,348.0
13-sep-2004,0,13.8,0,7.5,,,0,17.6,981.9,14.6,0,26,1,,0,43,,,,,,,804.0
14-sep-2004,0,14.9,0,7.8,,,0,1.7,993.0,14.3,0,25,0,350.0,0,37,,,,,,,1383.0
15-sep-2004,0,15.9,0,4.7,,,0,1.7,1014.1,6.9,0,15,1,,0,21,,,,,,,1259.0
16-sep-2004,0,15.7,0,10.6,,,0,5.4,1006.8,13.0,0,22,1,,0,34,,,,,,,397.0
17-sep-2004,0,16.5,0,10.1,,,0,1.3,998.7,12.4,0,20,1,,0,30,,,,,,,881.0
18-sep-2004,0,15.1,0,6.8,,,0,2.1,999.2,11.2,0,20,1,,0,30,,,,,,,1379.0
19-sep-2004,0,14.1,0,7.6,,,0,7.2,1000.9,13.2,0,22,1,,0,33,,,,,,,412.0
20-sep-2004,0,14.1,0,9.8,,,0,1.9,1001.0,15.4,0,24,1,,0,40,,,,,,,873.0
21-sep-2004,0,14.8,0,9.3,,,0,0.0,1012.3,12.7,0,19,0,260.0,0,29,,,,,,,1037.0
22-sep-2004,0,15.9,0,12.7,,,0,4.2,1012.3,13.5,0,18,0,260.0,0,27,,,,,,,410.0
23-sep-2004,0,15.5,0,7.3,,,0,2.6,1014.4,10.7,0,17,0,260.0,0,25,,,,,,,1311.0
24-sep-2004,0,13.5,0,4.4,,,0,0.0,1020.7,4.6,0,9,0,210.0,0,12,,,,,,,843.0
25-sep-2004,0,18.1,0,11.8,,,0,0.4,1017.8,8.9,0,15,0,280.0,0,20,,,,,,,907.0
26-sep-2004,0,16.0,0,12.7,,,0,0.2,1016.8,11.2,0,20,0,230.0,0,30,,,,,,,477.0
27-sep-2004,0,16.2,0,13.4,,,0,0.0,1015.8,8.6,0,12,0,220.0,0,19,,,,,,,407.0
28-sep-2004,0,15.6,0,11.1,,,0,0.2,1012.7,7.1,0,13,0,290.0,0,21,,,,,,,676.0
29-sep-2004,0,16.4,0,11.0,,,0,3.9,1008.3,6.7,0,12,0,230.0,0,17,,,,,,,327.0
30-sep-2004,0,15.4,0,8.7,,,0,0.0,1009.7,7.0,0,14,0,280.0,0,20,,,,,,,1009.0
01-oct-2004,0,15.6,0,8.4,,,0,2.3,1005.3,11.6,0,18,0,220.0,0,27,,,,,,,722.0
02-oct-2004,0,14.1,0,7.8,,,0,6.9,1001.8,12.4,0,23,0,230.0,0,31,,,,,,,1050.0
03-oct-2004,0,11.4,0,8.1,,,0,15.8,997.4,7.1,0,12,0,200.0,0,16,,,,,,,266.0
04-oct-2004,0,13.2,0,4.9,,,0,9.5,991.9,12.0,0,20,0,200.0,0,32,,,,,,,951.0
05-oct-2004,0,13.5,0,8.7,,,0,3.0,994.7,13.2,0,18,0,220.0,0,30,,,,,,,971.0
06-oct-2004,0,11.9,0,7.0,,,0,1.0,1004.2,11.4,0,19,0,280.0,0,29,,,,,,,948.0
07-oct-2004,0,13.8,0,4.5,,,0,0.1,1012.0,6.2,0,11,0,340.0,0,16,,,,,,,885.0
08-oct-2004,0,13.7,0,3.1,,,0,0.0,1017.9,5.9,0,11,0,20.0,0,17,,,,,,,858.0
09-oct-2004,0,12.4,0,1.4,,,0,0.0,1018.0,8.1,0,15,0,70.0,0,22,,,,,,,757.0
10-oct-2004,0,12.1,0,7.7,,,0,0.0,1014.1,8.7,0,15,0,60.0,0,21,,,,,,,324.0
11-oct-2004,0,12.4,0,2.5,,,0,0.0,1012.2,5.2,0,10,0,70.0,0,13,,,,,,,380.0
12-oct-2004,0,12.7,0,0.8,,,0,0.0,1004.7,3.6,0,9,0,130.0,0,12,,,,,,,683.0
13-oct-2004,0,13.5,0,4.9,,,0,2.7,994.8,4.6,0,9,0,80.0,0,13,,,,,,,778.0
14-oct-2004,0,10.3,0,4.6,,,0,4.0,992.9,7.5,0,15,0,290.0,0,32,,,,,,,572.0
15-oct-2004,0,12.0,0,3.5,,,0,0.0,994.7,6.2,0,11,0,310.0,0,17,,,,,,,882.0
16-oct-2004,0,12.5,0,3.3,,,0,0.2,998.8,8.0,0,16,0,10.0,0,21,,,,,,,348.0
17-oct-2004,0,12.3,0,5.8,,,0,1.6,1003.7,8.8,0,16,0,310.0,0,23,,,,,,,648.0
18-oct-2004,0,12.2,0,4.4,,,0,0.8,998.8,8.4,0,15,0,230.0,0,22,,,,,,,901.0
19-oct-2004,0,7.8,0,-0.5,,,0,3.6,992.0,6.8,0,15,0,230.0,0,19,,,,,,,730.0
20-oct-2004,0,5.5,0,-2.2,,,0,15.6,988.2,5.6,0,14,0,270.0,0,19,,,,,,,170.0
21-oct-2004,0,10.1,0,-0.1,,,0,2.9,987.5,8.5,0,24,0,240.0,0,37,,,,,,,510.0
22-oct-2004,0,8.5,0,2.0,,,0,7.2,991.9,4.7,0,12,0,10.0,0,19,,,,,,,240.0
23-oct-2004,0,11.5,0,2.1,,,0,3.2,991.4,5.9,0,11,0,350.0,0,15,,,,,,,550.0
24-oct-2004,0,14.7,0,7.7,,,0,12.4,983.5,9.1,0,17,0,160.0,0,25,,,,,,,488.0
25-oct-2004,0,11.3,0,2.0,,,0,0.3,993.2,11.5,0,19,0,290.0,0,29,,,,,,,693.0
