date,ind,maxtp,ind.1,mintp,igmin,gmin,ind.2,rain,cbl,wdsp,ind.3,hm,ind.4,ddhm,ind.5,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
01-dec-1955,0,10.9,0,5.9,,,0,9.1,1004.2,11.5,0,18.0,0,170.0,0,24.0,,,,,,,
02-dec-1955,0,12.1,0,4.0,,,0,0.9,1011.2,12.1,0,23.0,0,210.0,0,32.0,,,,,,,
03-dec-1955,0,10.7,0,6.4,,,3,0.0,1018.2,8.0,0,16.0,0,270.0,0,21.0,,,,,,,
04-dec-1955,0,11.6,0,4.8,,,0,1.5,1026.6,6.3,0,16.0,0,210.0,0,23.0,,,,,,,
05-dec-1955,0,11.8,0,10.7,,,0,0.8,1023.2,16.5,0,23.0,0,220.0,0,32.0,,,,,,,
06-dec-1955,0,11.8,0,11.2,,,2,0.0,1018.6,13.0,0,22.0,0,230.0,0,30.0,,,,,,,
07-dec-1955,0,14.7,0,7.9,,,0,0.1,1017.4,10.8,0,19.0,0,240.0,0,24.0,,,,,,,
08-dec-1955,0,11.7,0,5.2,,,0,0.6,1016.8,10.2,0,19.0,0,170.0,0,24.0,,,,,,,
09-dec-1955,0,12.8,0,6.7,,,0,1.7,1004.7,16.8,0,29.0,0,280.0,0,42.0,,,,,,,
10-dec-1955,0,9.7,0,6.8,,,0,2.2,996.2,12.5,0,23.0,0,290.0,0,29.0,,,,,,,
11-dec-1955,0,8.2,0,5.4,,,0,16.9,996.0,19.8,0,29.0,0,90.0,0,45.0,,,,,,,
12-dec-1955,0,10.4,0,8.1,,,0,31.7,991.5,27.4,0,32.0,0,130.0,0,49.0,,,,,,,
13-dec-1955,0,12.0,0,9.8,,,0,7.0,982.6,22.1,0,36.0,0,130.0,0,51.0,,,,,,,
14-dec-1955,0,12.1,0,8.2,,,0,7.4,974.2,9.7,0,19.0,0,150.0,0,30.0,,,,,,,
15-dec-1955,0,12.2,0,8.9,,,0,0.3,970.2,12.2,0,24.0,0,180.0,0,31.0,,,,,,,
